RANK,REG,CODE,Passengers 2017,Passengers 2016
1,NAM,ATL,92365860,89292748
2,ASP,PEK,77403668,73913402
3,EUR,LHR,69433565,65884143
4,NAM,ORD,66561023,66904971
5,ASP,HND,62263025,64117894
6,NAM,LAX,61848449,58995672
7,EUR,CDG,60970551,58166563
8,NAM,DFW,57806152,56905066
9,EUR,FRA,56436255,53009221
10,ASP,HKG,53314213,50359536
11,NAM,DEN,52699298,52209203
12,MEA,DXB,50977960,47180628
13,ASP,CGK,50446618,43981022
14,EUR,AMS,49754910,45211749
15,EUR,MAD,49644302,49842726
16,ASP,BKK,47910744,42784967
17,NAM,JFK,47854283,46493667
18,ASP,SIN,46543845,42038777
19,ASP,CAN,45400156,40975253
20,NAM,LAS,41479572,39757359
21,ASP,PVG,41450211,40387640
22,NAM,SFO,40907389,39254110
23,NAM,PHX,40565677,38552409
24,NAM,IAH,40170844,40475669
25,NAM,CLT,39043708,38143078
26,NAM,MIA,38314389,35698025
27,EUR,MUC,37763701,34721605
28,ASP,KUL,37670586,34087636
29,EUR,FCO,37651222,36227778
30,EUR,IST,37398221,32165817
31,ASP,SYD,36022614,35992172
32,NAM,MCO,35356991,34877507
33,ASP,ICN,35191825,33605579
34,ASP,DEL,34729467,28531607
35,EUR,BCN,34387597,29197135
36,EUR,LGW,33668048,31378644
37,NAM,EWR,33577154,33133852
38,NAM,YYZ,33434199,31937895
39,ASP,SHA,33112442,31298812
40,NAM,MSP,33074443,32749649
41,NAM,SEA,32820060,31553166
42,NAM,DTW,32419181,32377064
43,NAM,PHL,30839130,30775271
44,ASP,BOM,30439122,28137797
45,LAC,GRU,30371131,27432346
46,ASP,MNL,29551394,27148724
47,ASP,CTU,29073990,25805815
48,NAM,BOS,28866313,27429152
49,ASP,SZX,28245745,26713610
50,ASP,MEL,28060111,27731252
51,ASP,NRT,28055772,33815906
52,EUR,ORY,27139076,25203787
53,LAC,MEX,26368861,24130535
54,EUR,DME,25701610,22253529
55,EUR,AYT,25183142,21857524
56,ASP,TPE,24947551,25114413
57,EUR,ZRH,24283941,22826942
58,NAM,LGA,24028400,23980687
59,NAM,FLL,23348804,22406810
60,NAM,IAD,23056291,23447177
61,EUR,PMI,22723837,21110092
62,EUR,CPH,22673477,21452464
63,EUR,SVO,22555309,19329185
64,NAM,BWI,22395638,21951650
65,ASP,KMG,22272776,20194754
66,EUR,VIE,21106330,19691206
67,EUR,OSL,21092873,19091113
68,MEA,JED,20929686,17913975
69,ASP,BNE,20589207,20020966
70,NAM,SLC,20440913,20987646
71,EUR,DUS,20339466,18988489
72,LAC,BOG,20327901,18827118
73,EUR,MXP,19291427,18947808
74,AFR,JNB,19114384,18565250
75,EUR,ARN,19088363,16988614
76,EUR,MAN,18991503,17873023
77,NAM,MDW,18882549,17647771
78,NAM,DCA,18811335,18105802
79,EUR,BRU,18756885,17149416
80,EUR,DUB,18735944,18431678
81,ASP,GMP,18513982,17575244
82,MEA,DOH,18202649,15863292
83,EUR,STN,18046777,18574204
84,ASP,HGH,17512034,17068585
85,ASP,CJU,17202278,15724770
86,NAM,YVR,17193080,16926870
87,EUR,TXL,16919820,15025600
88,NAM,SAN,16836027,16901322
89,NAM,TPA,16732051,16645765
90,LAC,CGH,16687731,15441789
91,LAC,BSB,15801122,14824113
92,ASP,CTS,15773073,16745235
93,ASP,XMN,15753183,13248367
94,MEA,RUH,15432950,14136837
95,ASP,FUK,15431078,16404617
96,LAC,GIG,15184350,12605637
97,EUR,HEL,14851675,12866036
98,EUR,LIS,14791260,14058751
99,EUR,ATH,14428032,15390156
100,ASP,AKL,14012329,13705116